season_year,country,league,tier,club_count,target_count,deficit,avg_financial_power,min_financial_power,max_financial_power,warning_class
2026,"Argentina","Argentina - Liga Profesional Argentina - Regional Division 002",1,15,15,0,64.8,36.1,86.3,"OK"
2026,"Argentina","Argentina - Liga Profesional Argentina - Regional Division 001",1,15,15,0,68.1,48.2,88.6,"OK"
2026,"Argentina","Argentina - Primera C",6,28,28,0,43.0,20.5,67.3,"OK"
2026,"Argentina","Argentina - Prim B Metro",4,22,22,0,53.2,20.5,77.5,"OK"
2026,"Argentina","Argentina - Torneo Regional Federal Amateur - Regional Division 012",5,18,18,0,49.6,18.4,67.1,"OK"
2026,"Argentina","Argentina - Torneo Regional Federal Amateur - Regional Division 013",5,18,18,0,46.3,20.0,67.2,"OK"
2026,"Argentina","Argentina - Torneo Regional Federal Amateur - Regional Division 010",5,18,18,0,52.3,39.0,74.0,"OK"
2026,"Argentina","Argentina - Torneo Regional Federal Amateur - Regional Division 011",5,18,18,0,44.8,24.7,65.9,"OK"
2026,"Argentina","Argentina - Primera Nacional - Regional Division 001",2,17,17,0,65.8,45.3,89.0,"OK"
2026,"Argentina","Argentina - Torneo Regional Federal Amateur - Regional Division 005",5,19,19,0,48.8,24.0,80.9,"OK"
2026,"Argentina","Argentina - Torneo Federal A - Regional Division 002",3,18,18,0,55.5,31.7,75.6,"OK"
2026,"Argentina","Argentina - Torneo Regional Federal Amateur - Regional Division 006",5,19,19,0,47.3,20.5,79.6,"OK"
2026,"Argentina","Argentina - Torneo Regional Federal Amateur - Regional Division 003",5,19,19,0,55.4,32.9,71.5,"OK"
2026,"Argentina","Argentina - Primera Nacional - Regional Division 002",2,17,17,0,60.7,29.3,95.8,"OK"
2026,"Argentina","Argentina - Torneo Regional Federal Amateur - Regional Division 004",5,19,19,0,48.3,20.4,74.9,"OK"
2026,"Argentina","Argentina - Torneo Regional Federal Amateur - Regional Division 009",5,18,18,0,48.0,25.8,66.2,"OK"
2026,"Argentina","Argentina - Torneo Regional Federal Amateur - Regional Division 007",5,19,19,0,45.9,18.0,69.6,"OK"
2026,"Argentina","Argentina - Torneo Regional Federal Amateur - Regional Division 008",5,19,19,0,49.7,20.2,80.1,"OK"
2026,"Argentina","Argentina - Torneo Federal A - Regional Division 001",3,18,18,0,55.3,26.2,96.0,"OK"
2026,"Ukraine","Ukraine - Premier League",1,16,16,0,67.2,46.7,99.8,"OK"
2026,"Ukraine","Ukraine - Druha Liga",3,22,22,0,43.3,20.0,68.0,"OK"
2026,"Ukraine","Ukraine - Persha Liga",2,16,16,0,55.8,33.0,80.6,"OK"
2026,"Tanzania","Tanzania - Ligi kuu Bara",1,16,16,0,66.0,39.9,95.1,"OK"
2026,"Seychelles","Seychelles - Premier League",1,9,10,1,59.0,44.5,77.6,"OK"
2026,"Zambia","Zambia - Super League",1,18,18,0,63.7,29.6,94.5,"OK"
2026,"Ghana","Ghana - Division One - Regional Division 003",2,16,16,0,54.0,32.6,74.0,"OK"
2026,"Ghana","Ghana - Division One - Regional Division 002",2,16,16,0,56.1,30.4,79.4,"OK"
2026,"Ghana","Ghana - Division One - Regional Division 001",2,16,16,0,57.8,41.2,78.1,"OK"
2026,"Ghana","Ghana - Premier League",1,18,18,0,66.2,46.8,80.1,"OK"
2026,"Belize","Belize - Premier League",1,7,7,0,43.1,32.6,57.9,"OK"
2026,"Northern Ireland","Northern Ireland - Championship",2,12,12,0,45.5,29.6,84.5,"OK"
2026,"Northern Ireland","Northern Ireland - Premier Intermediate League",3,13,13,0,38.8,18.3,54.6,"OK"
2026,"Northern Ireland","Northern Ireland - Premiership",1,12,12,0,56.6,33.3,86.6,"OK"
2026,"Bahrain","Bahrain - Premier League",1,12,12,0,58.3,44.8,86.6,"OK"
2026,"Bahrain","Bahrain - Second Division",2,12,12,0,48.5,20.4,66.9,"OK"
2026,"Congo","Congo - Ligue 001",1,14,14,0,60.0,31.5,81.2,"OK"
2026,"India","India - Indian Super League",1,13,13,0,61.8,29.7,98.0,"OK"
2026,"India","India - I-League",2,12,12,0,48.7,27.6,74.1,"OK"
2026,"India","India - I-League 002",3,9,9,0,49.8,31.6,70.0,"OK"
2026,"India","India - Calcutta Premier Division",4,18,18,0,42.8,20.4,64.8,"OK"
2026,"Kyrgyz Republic","Kyrgyz Republic - Premier League",1,14,14,0,47.7,21.4,71.3,"OK"
2026,"Canada","Canada - Canadian Premier League",1,8,8,0,60.4,40.2,100.0,"OK"
2026,"Canada","Canada - Group D",2,9,10,1,46.7,35.1,60.3,"OK"
2026,"Canada","Canada - Group C",2,10,10,0,47.3,26.7,70.4,"OK"
2026,"Canada","Canada - Group B",2,10,10,0,45.3,24.1,63.1,"OK"
2026,"Canada","Canada - Group A",2,10,10,0,50.1,28.4,73.0,"OK"
2026,"Belgium","Belgium - VV",3,16,16,0,60.6,34.1,74.4,"OK"
2026,"Belgium","Belgium - Provincial - Regional Division 002",6,18,18,0,44.4,20.0,69.2,"OK"
2026,"Belgium","Belgium - Provincial - Regional Division 003",6,18,18,0,49.5,20.7,81.7,"OK"
2026,"Belgium","Belgium - Provincial - Regional Division 004",6,18,18,0,46.5,20.0,74.7,"OK"
2026,"Belgium","Belgium - First Division A",1,16,16,0,72.3,46.7,95.5,"OK"
2026,"Belgium","Belgium - Provincial - Regional Division 005",6,18,18,0,43.1,22.8,81.2,"OK"
2026,"Belgium","Belgium - Provincial - Regional Division 001",6,18,18,0,49.0,21.3,73.2,"OK"
2026,"Belgium","Belgium - Provincial - Regional Division 006",6,18,18,0,44.8,20.6,67.0,"OK"
2026,"Belgium","Belgium - Provincial - Regional Division 007",6,18,18,0,39.4,21.3,58.9,"OK"
2026,"Belgium","Belgium - Provincial - Regional Division 008",6,17,17,0,43.8,22.5,70.4,"OK"
2026,"Belgium","Belgium - Provincial - Regional Division 009",6,17,17,0,34.7,18.1,55.7,"OK"
2026,"Belgium","Belgium - D",5,16,16,0,44.9,24.5,73.2,"OK"
2026,"Belgium","Belgium - Challenger Pro League",2,17,17,0,65.1,31.7,98.0,"OK"
2026,"Belgium","Belgium - ACFF",3,16,16,0,55.5,31.0,78.0,"OK"
2026,"Belgium","Belgium - A",4,31,16,0,49.8,23.4,81.4,"OVERFLOW"
2026,"Belgium","Belgium - B",4,32,16,0,50.8,25.5,89.5,"OVERFLOW"
2026,"Belgium","Belgium - C",4,32,16,0,49.7,29.6,67.8,"OVERFLOW"
2026,"Finland","Finland - Kolmonen - Regional Division 002",5,17,17,0,40.3,21.4,63.7,"OK"
2026,"Finland","Finland - Kolmonen - Regional Division 001",5,17,17,0,45.5,20.5,60.9,"OK"
2026,"Finland","Finland - Kakkonen - Regional Division 002",4,15,15,0,46.0,26.2,80.1,"OK"
2026,"Finland","Finland - Ykkösliiga",2,10,10,0,49.2,31.8,74.9,"OK"
2026,"Finland","Finland - Kakkonen - Regional Division 001",4,15,15,0,48.9,30.2,75.6,"OK"
2026,"Finland","Finland - Veikkausliiga",1,12,12,0,60.6,40.8,86.1,"OK"
2026,"Finland","Finland - Ykkönen",3,11,11,0,49.3,24.3,74.0,"OK"
2026,"Finland","Finland - Kolmonen - Regional Division 004",5,17,17,0,40.1,20.0,61.4,"OK"
2026,"Finland","Finland - Kolmonen - Regional Division 003",5,17,17,0,42.2,18.9,75.0,"OK"
2026,"Finland","Finland - Kolmonen - Regional Division 005",5,17,17,0,35.0,20.0,54.5,"OK"
2026,"Faroe Islands","Faroe Islands - Meistaradeildin",1,10,10,0,61.9,35.3,79.7,"OK"
2026,"Faroe Islands","Faroe Islands - 1. Deild",2,10,10,0,45.5,23.2,58.6,"OK"
2026,"Faroe Islands","Faroe Islands - 2. Deild",3,9,9,0,35.9,20.0,53.2,"OK"
2026,"North Macedonia","North Macedonia - First League",1,12,12,0,57.3,41.0,87.6,"OK"
2026,"North Macedonia","North Macedonia - Second League",2,16,16,0,51.4,22.9,75.5,"OK"
2026,"Trinidad and Tobago","Trinidad and Tobago - TT Premier League 002",2,20,20,0,42.8,20.5,72.2,"OK"
2026,"Trinidad and Tobago","Trinidad and Tobago - TT Premier League",1,12,12,0,50.9,21.4,75.0,"OK"
2026,"South Africa","South Africa - PSL",1,16,16,0,60.4,34.7,87.2,"OK"
2026,"South Africa","South Africa - 1st Division",2,16,16,0,57.8,36.9,95.7,"OK"
2026,"Bermuda","Bermuda - Premier League",1,10,10,0,51.9,32.2,63.1,"OK"
2026,"Georgia","Georgia - Erovnuli Liga 002",2,10,10,0,59.1,46.6,73.0,"OK"
2026,"Georgia","Georgia - Liga 003",3,16,16,0,44.6,29.1,72.6,"OK"
2026,"Georgia","Georgia - Erovnuli Liga",1,10,10,0,64.9,48.0,80.9,"OK"
2026,"Jamaica","Jamaica - Premier League",1,14,14,0,65.9,41.6,100.0,"OK"
2026,"Turkmenistan","Turkmenistan - Ýokary Liga",1,8,8,0,50.4,35.8,63.5,"OK"
2026,"Türkiye","Türkiye - Bölgesel Amatör Lig - Regional Division 006",5,18,18,0,43.1,20.0,76.4,"OK"
2026,"Türkiye","Türkiye - Bölgesel Amatör Lig - Regional Division 005",5,18,18,0,42.8,21.9,69.0,"OK"
2026,"Türkiye","Türkiye - Bölgesel Amatör Lig - Regional Division 004",5,18,18,0,45.0,20.0,75.8,"OK"
2026,"Türkiye","Türkiye - Bölgesel Amatör Lig - Regional Division 003",5,18,18,0,45.6,20.7,75.9,"OK"
2026,"Türkiye","Türkiye - Süper Lig",1,18,18,0,71.0,36.6,96.8,"OK"
2026,"Türkiye","Türkiye - Bölgesel Amatör Lig - Regional Division 008",5,18,18,0,37.3,20.7,65.7,"OK"
2026,"Türkiye","Türkiye - Bölgesel Amatör Lig - Regional Division 007",5,18,18,0,41.1,18.1,60.8,"OK"
2026,"Türkiye","Türkiye - 3. Lig - Regional Division 004",4,16,16,0,47.2,30.3,78.3,"OK"
2026,"Türkiye","Türkiye - 1. Lig",2,20,20,0,59.9,40.7,83.4,"OK"
2026,"Türkiye","Türkiye - 3. Lig - Regional Division 003",4,16,16,0,49.1,21.2,77.6,"OK"
2026,"Türkiye","Türkiye - 3. Lig - Regional Division 002",4,16,16,0,49.4,25.4,86.2,"OK"
2026,"Türkiye","Türkiye - 3. Lig - Regional Division 001",4,16,16,0,52.5,32.2,72.0,"OK"
2026,"Türkiye","Türkiye - 2. Lig - Regional Division 002",3,18,18,0,51.0,33.3,64.0,"OK"
2026,"Türkiye","Türkiye - Bölgesel Amatör Lig - Regional Division 002",5,18,18,0,47.1,20.9,68.3,"OK"
2026,"Türkiye","Türkiye - Bölgesel Amatör Lig - Regional Division 001",5,18,18,0,46.0,18.9,66.4,"OK"
2026,"Türkiye","Türkiye - 2. Lig - Regional Division 001",3,19,19,0,52.3,26.3,82.8,"OK"
2026,"Peru","Peru - Liga 3 - Regional Division 002",1,18,18,0,54.2,22.1,80.0,"OK"
2026,"Peru","Peru - Liga 3 - Regional Division 001",1,19,19,0,64.1,31.8,84.4,"OK"
2026,"Peru","Peru - Liga 002",2,15,15,0,59.1,43.6,74.9,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 023",6,18,18,0,42.1,23.8,64.9,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 022",6,18,18,0,41.6,21.7,78.0,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 025",6,18,18,0,46.1,27.0,67.7,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 024",6,18,18,0,44.7,27.3,82.1,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 027",6,18,18,0,37.2,20.0,60.1,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 026",6,18,18,0,47.3,20.0,67.3,"OK"
2026,"Germany","Germany - Regionalliga Nordost",4,18,18,0,62.0,42.0,93.5,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 029",6,18,18,0,39.1,20.1,59.5,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 028",6,18,18,0,36.8,20.0,64.9,"OK"
2026,"Germany","Germany - Bundesliga",1,18,18,0,71.8,46.6,100.0,"OK"
2026,"Germany","Germany - Regionalliga Südwest",4,18,18,0,56.9,38.9,85.1,"OK"
2026,"Germany","Germany - Oberliga - Regional Division 008",5,17,17,0,50.4,29.6,78.1,"OK"
2026,"Germany","Germany - Oberliga - Regional Division 009",5,17,17,0,49.8,21.3,79.1,"OK"
2026,"Germany","Germany - Oberliga - Regional Division 006",5,17,17,0,56.0,22.6,79.0,"OK"
2026,"Germany","Germany - Oberliga - Regional Division 007",5,17,17,0,52.2,21.4,84.5,"OK"
2026,"Germany","Germany - Oberliga - Regional Division 004",5,17,17,0,53.6,27.6,76.9,"OK"
2026,"Germany","Germany - Oberliga - Regional Division 005",5,17,17,0,55.1,31.0,75.4,"OK"
2026,"Germany","Germany - Oberliga - Regional Division 002",5,17,17,0,53.8,19.8,92.5,"OK"
2026,"Germany","Germany - Oberliga - Regional Division 003",5,17,17,0,47.6,25.1,78.7,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 030",6,18,18,0,37.9,20.0,66.7,"OK"
2026,"Germany","Germany - Oberliga - Regional Division 001",5,18,18,0,59.4,37.3,77.8,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 032",6,18,18,0,42.2,20.0,69.3,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 031",6,18,18,0,38.7,20.0,61.9,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 012",6,18,18,0,43.8,18.0,66.2,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 011",6,18,18,0,44.5,20.0,93.0,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 014",6,18,18,0,43.8,23.3,75.8,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 013",6,18,18,0,38.8,18.9,62.8,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 016",6,18,18,0,43.9,21.2,63.6,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 015",6,18,18,0,40.0,27.0,63.0,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 018",6,18,18,0,41.1,21.3,63.4,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 017",6,18,18,0,40.6,20.0,65.4,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 019",6,18,18,0,45.1,20.0,83.5,"OK"
2026,"Germany","Germany - Regionalliga West",4,18,18,0,55.4,26.2,76.4,"OK"
2026,"Germany","Germany - Regionalliga Bayern",4,18,18,0,62.7,41.5,98.7,"OK"
2026,"Germany","Germany - Regionalliga Nord",4,18,18,0,61.3,45.9,77.5,"OK"
2026,"Germany","Germany - Oberliga - Regional Division 013",5,17,17,0,44.5,20.0,98.9,"OK"
2026,"Germany","Germany - Oberliga - Regional Division 014",5,17,17,0,47.7,20.1,75.0,"OK"
2026,"Germany","Germany - Oberliga - Regional Division 011",5,17,17,0,48.7,20.0,82.2,"OK"
2026,"Germany","Germany - Oberliga - Regional Division 012",5,17,17,0,48.1,25.6,72.2,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 021",6,18,18,0,47.2,21.3,84.9,"OK"
2026,"Germany","Germany - Oberliga - Regional Division 010",5,17,17,0,51.6,29.5,89.9,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 020",6,18,18,0,41.5,23.6,63.0,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 001",6,19,19,0,47.1,23.6,71.6,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 003",6,19,19,0,45.4,24.4,65.4,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 002",6,19,19,0,42.8,20.0,68.6,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 005",6,19,19,0,48.1,22.3,74.2,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 004",6,19,19,0,43.7,25.0,67.2,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 007",6,19,19,0,43.4,20.0,62.4,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 006",6,19,19,0,41.3,20.0,61.5,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 009",6,18,18,0,49.3,19.3,66.9,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 008",6,19,19,0,47.1,20.0,71.0,"OK"
2026,"Germany","Germany - State Leagues - Regional Division 010",6,18,18,0,49.4,22.0,78.4,"OK"
2026,"Germany","Germany - 3. Liga",3,20,20,0,63.6,31.7,91.1,"OK"
2026,"Germany","Germany - 2. Bundesliga",2,18,18,0,62.5,27.6,88.5,"OK"
2026,"Puerto Rico","Puerto Rico - Liga Puerto Rico",1,10,10,0,58.3,38.5,86.5,"OK"
2026,"Fiji","Fiji - National Football League",1,10,10,0,46.4,27.3,83.1,"OK"
2026,"Hong Kong","Hong Kong - HKFA 1st Division",2,14,14,0,44.7,28.0,59.5,"OK"
2026,"Hong Kong","Hong Kong - Premier League",1,10,10,0,53.4,20.8,72.6,"OK"
2026,"Guinea","Guinea - Ligue 001",1,14,14,0,61.9,36.1,85.6,"OK"
2026,"Somalia","Somalia - Somali Premier League",1,11,11,0,55.9,33.7,73.2,"OK"
2026,"Madagascar","Madagascar - Pro League",1,15,15,0,55.7,33.8,73.4,"OK"
2026,"Aruba","Aruba - Division di Honor",1,10,10,0,58.2,30.3,87.2,"OK"
2026,"Thailand","Thailand - Thai League 3 - Regional Division 001",3,17,17,0,51.5,21.6,82.2,"OK"
2026,"Thailand","Thailand - Thai League 3 - Regional Division 002",3,17,17,0,49.7,22.7,84.9,"OK"
2026,"Thailand","Thailand - Thai League 002",2,18,18,0,47.9,21.2,73.3,"OK"
2026,"Thailand","Thailand - Thai League 3 - Regional Division 003",3,17,17,0,47.5,20.7,66.4,"OK"
2026,"Thailand","Thailand - Thai League 001",1,16,16,0,66.3,41.6,91.2,"OK"
2026,"Thailand","Thailand - Thai League 3 - Regional Division 004",3,17,17,0,42.6,19.0,71.5,"OK"
2026,"Libya","Libya - Premier League - Regional Division 001",1,18,18,0,65.8,42.9,96.8,"OK"
2026,"Libya","Libya - Premier League - Regional Division 002",1,18,18,0,50.5,26.8,76.1,"OK"
2026,"Costa Rica","Costa Rica - Primera División",1,10,10,0,67.3,40.6,100.0,"OK"
2026,"Costa Rica","Costa Rica - Liga de Ascenso",2,18,18,0,56.3,36.5,89.4,"OK"
2026,"Vietnam","Vietnam - V.League 002",2,12,12,0,53.1,31.6,85.6,"OK"
2026,"Vietnam","Vietnam - V.League 001",1,14,14,0,57.2,38.0,80.1,"OK"
2026,"Vietnam","Vietnam - Second Division",3,11,11,0,40.3,20.0,67.7,"OK"
2026,"Sweden","Sweden - Ettan - Regional Division 002",3,16,16,0,56.0,39.0,75.5,"OK"
2026,"Sweden","Sweden - Allsvenskan",1,16,16,0,70.0,48.6,95.5,"OK"
2026,"Sweden","Sweden - Superettan",2,16,16,0,57.2,42.1,68.9,"OK"
2026,"Sweden","Sweden - Ettan - Regional Division 001",3,16,16,0,60.6,33.7,96.7,"OK"
2026,"Sweden","Sweden - Division 2 - Regional Division 001",4,16,16,0,50.6,28.3,75.2,"OK"
2026,"Sweden","Sweden - Division 2 - Regional Division 002",4,16,16,0,52.9,31.2,77.3,"OK"
2026,"Malawi","Malawi - Super League",1,16,16,0,60.3,41.7,89.2,"OK"
2026,"China PR","China PR - Chinese Football League 002",3,24,24,0,42.4,18.0,69.4,"OK"
2026,"China PR","China PR - Chinese Football League 001",2,16,16,0,48.2,27.6,75.1,"OK"
2026,"China PR","China PR - Chinese Super League",1,16,16,0,60.3,29.7,84.9,"OK"
2026,"Chinese Taipei","Chinese Taipei - Taiwan Football Premier League",1,8,8,0,43.2,30.7,65.3,"OK"
2026,"Andorra","Andorra - 1a Divisió",1,10,10,0,59.8,43.3,85.0,"OK"
2026,"Andorra","Andorra - 2a Divisió",2,8,8,0,41.6,33.3,56.4,"OK"
2026,"Poland","Poland - III Liga - Regional Division 004",4,18,18,0,48.8,21.0,78.3,"OK"
2026,"Poland","Poland - Division 002",5,18,18,0,45.7,24.3,61.1,"OK"
2026,"Poland","Poland - Division 013",5,17,17,0,45.2,30.7,64.7,"OK"
2026,"Poland","Poland - Division 003",5,18,18,0,50.3,23.1,83.7,"OK"
2026,"Poland","Poland - Division 014",5,17,17,0,39.4,21.6,66.1,"OK"
2026,"Poland","Poland - III Liga - Regional Division 002",4,18,18,0,57.0,39.8,80.5,"OK"
2026,"Poland","Poland - Division 004",5,18,18,0,51.0,20.8,75.4,"OK"
2026,"Poland","Poland - Division 015",5,17,17,0,49.1,23.0,70.4,"OK"
2026,"Poland","Poland - III Liga - Regional Division 003",4,18,18,0,52.3,18.3,87.8,"OK"
2026,"Poland","Poland - Division 005",5,18,18,0,47.0,22.8,70.4,"OK"
2026,"Poland","Poland - Division 016",5,17,17,0,40.9,20.9,71.4,"OK"
2026,"Poland","Poland - Division 006",5,18,18,0,51.5,24.9,73.5,"OK"
2026,"Poland","Poland - III Liga - Regional Division 001",4,18,18,0,53.5,26.3,82.7,"OK"
2026,"Poland","Poland - Division 007",5,18,18,0,54.3,29.9,82.4,"OK"
