ClubName,CurrentRating,OriginCountry,OriginConfederation,DomesticLeagueName,PyramidCountry,PyramidConfederation,DomesticLevel,DomesticLeagueSimName,PyramidCountryFinal,PyramidConfederationFinal
Butrinti Sarandë,45.3,Albania,Europe,2nd Division,Albania,Europe,3,2nd Division,Albania,Europe
Tërbuni Pukë,44.3,Albania,Europe,2nd Division,Albania,Europe,3,2nd Division,Albania,Europe
Tomori Berat,43.5,Albania,Europe,2nd Division,Albania,Europe,3,2nd Division,Albania,Europe
Shiroka,42.5,Albania,Europe,2nd Division,Albania,Europe,3,2nd Division,Albania,Europe
Veleçiku Koplik,42,Albania,Europe,2nd Division,Albania,Europe,3,2nd Division,Albania,Europe
Bylis II,41.4,Albania,Europe,2nd Division,Albania,Europe,3,2nd Division,Albania,Europe
Devolli,40.5,Albania,Europe,2nd Division,Albania,Europe,3,2nd Division,Albania,Europe
Turbina Cërrik,40.5,Albania,Europe,,Albania,Europe,,,Albania,Europe
Shkumbini Peqin,40.4,Albania,Europe,2nd Division,Albania,Europe,3,2nd Division,Albania,Europe
Partizani Tirana II,40.3,Albania,Europe,2nd Division,Albania,Europe,3,2nd Division,Albania,Europe
Naftëtari Kuçovë,39.4,Albania,Europe,2nd Division,Albania,Europe,3,2nd Division,Albania,Europe
Delvina,39,Albania,Europe,2nd Division,Albania,Europe,3,2nd Division,Albania,Europe
Maliqi,39,Albania,Europe,2nd Division,Albania,Europe,3,2nd Division,Albania,Europe
Basania,38.3,Albania,Europe,2nd Division,Albania,Europe,3,2nd Division,Albania,Europe
Albanët,38.2,Albania,Europe,,Albania,Europe,,,Albania,Europe
Eagle,37.9,Albania,Europe,2nd Division,Albania,Europe,3,2nd Division,Albania,Europe
Gramshi,36.6,Albania,Europe,2nd Division,Albania,Europe,3,2nd Division,Albania,Europe
Këlcyra,35.1,Albania,Europe,2nd Division,Albania,Europe,3,2nd Division,Albania,Europe
Adriatiku,34.8,Albania,Europe,2nd Division,Albania,Europe,3,2nd Division,Albania,Europe
Memaliaj,32.7,Albania,Europe,,Albania,Europe,,,Albania,Europe
Murlani,31.3,Albania,Europe,,Albania,Europe,,,Albania,Europe
MC Alger,77.1,Algeria,Africa,Ligue 1,Algeria,Africa,1,Ligue 1,Algeria,Africa
Belouizdad,76.6,Algeria,Africa,Ligue 1,Algeria,Africa,1,Ligue 1,Algeria,Africa
Kabylie,75.4,Algeria,Africa,Ligue 1,Algeria,Africa,1,Ligue 1,Algeria,Africa
USM Alger,74.7,Algeria,Africa,Ligue 1,Algeria,Africa,1,Ligue 1,Algeria,Africa
CS Constantine,73.3,Algeria,Africa,Ligue 1,Algeria,Africa,1,Ligue 1,Algeria,Africa
MC Oran,72.5,Algeria,Africa,Ligue 1,Algeria,Africa,1,Ligue 1,Algeria,Africa
Saoura,72.3,Algeria,Africa,Ligue 1,Algeria,Africa,1,Ligue 1,Algeria,Africa
Ben Aknoun,72.2,Algeria,Africa,Ligue 1,Algeria,Africa,1,Ligue 1,Algeria,Africa
Olympique Akbou,71.7,Algeria,Africa,Ligue 1,Algeria,Africa,1,Ligue 1,Algeria,Africa
MB Rouisset,71.7,Algeria,Africa,Ligue 1,Algeria,Africa,1,Ligue 1,Algeria,Africa
ES Sétif,71.4,Algeria,Africa,Ligue 1,Algeria,Africa,1,Ligue 1,Algeria,Africa
Khenchela,71.2,Algeria,Africa,Ligue 1,Algeria,Africa,1,Ligue 1,Algeria,Africa
USM El Harrach,71.2,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
ASO Chlef,70.9,Algeria,Africa,Ligue 1,Algeria,Africa,1,Ligue 1,Algeria,Africa
Paradou AC,70.7,Algeria,Africa,Ligue 1,Algeria,Africa,1,Ligue 1,Algeria,Africa
ES Mostaganem,69.4,Algeria,Africa,Ligue 1,Algeria,Africa,1,Ligue 1,Algeria,Africa
JS El Biar,69.3,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
RC Kouba,68.2,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
US Biskra,67.9,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
El Bayadh,67.8,Algeria,Africa,Ligue 1,Algeria,Africa,1,Ligue 1,Algeria,Africa
JS Jijel,66.6,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
CA Batna,66.3,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
Témouchent,66.3,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
NC Magra,66,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
NA Hussein Dey,65.9,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
US Chaouia,65.5,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
USM Annaba,65.2,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
MO Béjaïa,65.1,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
WA Mostaganem,65.1,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
ASM Oran,64.6,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
Koléa,64.5,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
Tiaret,64.3,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
JS Bordj Ménaïel,64.2,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
Teleghma,63.9,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
CR Béni Thour,63.8,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
MC Saïda,63.7,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
MO Constantine,63.5,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
WA Tlemcen,63.5,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
AS Khroub,63.3,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
SKAF Khémis Mélina,63.2,Algeria,Africa,,Algeria,Africa,,,Algeria,Africa
Beni Oulbane,62.5,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
RC Arbaâ,62.4,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
GC Mascara,62.1,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
CRB Adrar,62.1,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
MSP Batna,61.7,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
IRB Ouargla,61.4,Algeria,Africa,,Algeria,Africa,,,Algeria,Africa
Tixeraïne,61.3,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
IB Khémis El Khechna,61,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
Béchar Djedid,60.5,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
Oued Sly,60.3,Algeria,Africa,,Algeria,Africa,,,Algeria,Africa
HB Chelghoum Laïd,59,Algeria,Africa,Ligue 2,Algeria,Africa,2,Ligue 2,Algeria,Africa
SC Méchria,58,Algeria,Africa,,Algeria,Africa,,,Algeria,Africa
Olympique Magrane,57.7,Algeria,Africa,,Algeria,Africa,,,Algeria,Africa
US Souf,57.7,Algeria,Africa,,Algeria,Africa,,,Algeria,Africa
FC Andorra,73.1,Andorra,Europe,Segunda División,Spain,Europe,2,Segunda División,Spain,Europe
Inter Club d'Escaldes,68.6,Andorra,Europe,1a Divisió,Andorra,Europe,1,1a Divisió,Andorra,Europe
UE Santa Coloma,65.6,Andorra,Europe,1a Divisió,Andorra,Europe,1,1a Divisió,Andorra,Europe
Atlètic Club d'Escaldes,64,Andorra,Europe,1a Divisió,Andorra,Europe,1,1a Divisió,Andorra,Europe
FC Santa Coloma,63.2,Andorra,Europe,1a Divisió,Andorra,Europe,1,1a Divisió,Andorra,Europe
Ranger's,60.3,Andorra,Europe,1a Divisió,Andorra,Europe,1,1a Divisió,Andorra,Europe
Penya Encarnada,54.9,Andorra,Europe,1a Divisió,Andorra,Europe,1,1a Divisió,Andorra,Europe
Ordino,53.5,Andorra,Europe,1a Divisió,Andorra,Europe,1,1a Divisió,Andorra,Europe
Pas de la Casa,53.3,Andorra,Europe,1a Divisió,Andorra,Europe,1,1a Divisió,Andorra,Europe
Carroi,53.3,Andorra,Europe,1a Divisió,Andorra,Europe,1,1a Divisió,Andorra,Europe
Atlètic Amèrica,46.5,Andorra,Europe,,Andorra,Europe,,,Andorra,Europe
Esperança d'Andorra,46,Andorra,Europe,1a Divisió,Andorra,Europe,1,1a Divisió,Andorra,Europe
La Massana,45.4,Andorra,Europe,2a Divisió,Andorra,Europe,2,2a Divisió,Andorra,Europe
Casa de Portugal,43.1,Andorra,Europe,2a Divisió,Andorra,Europe,2,2a Divisió,Andorra,Europe
Sporting Escaldes,42.6,Andorra,Europe,2a Divisió,Andorra,Europe,2,2a Divisió,Andorra,Europe
City Escaldes,40,Andorra,Europe,2a Divisió,Andorra,Europe,2,2a Divisió,Andorra,Europe
Pirineus United,38.2,Andorra,Europe,2a Divisió,Andorra,Europe,2,2a Divisió,Andorra,Europe
UE Santa Coloma II,38.1,Andorra,Europe,2a Divisió,Andorra,Europe,2,2a Divisió,Andorra,Europe
Ranger's II,35.6,Andorra,Europe,,Andorra,Europe,,,Andorra,Europe
Principat,34.6,Andorra,Europe,2a Divisió,Andorra,Europe,2,2a Divisió,Andorra,Europe
FC Santa Coloma II,33.2,Andorra,Europe,2a Divisió,Andorra,Europe,2,2a Divisió,Andorra,Europe
Petro de Luanda,75.4,Angola,Africa,Girabola,Angola,Africa,1,Girabola,Angola,Africa
1º de Agosto,70.2,Angola,Africa,Girabola,Angola,Africa,1,Girabola,Angola,Africa
Wiliete,68.6,Angola,Africa,Girabola,Angola,Africa,1,Girabola,Angola,Africa
Sagrada Esperança,67.8,Angola,Africa,Girabola,Angola,Africa,1,Girabola,Angola,Africa
Bravos do Maquis,67.5,Angola,Africa,Girabola,Angola,Africa,1,Girabola,Angola,Africa
Interclube,65.1,Angola,Africa,Girabola,Angola,Africa,1,Girabola,Angola,Africa
Kabuscorp,64.9,Angola,Africa,Girabola,Angola,Africa,1,Girabola,Angola,Africa
Desportivo Huíla,64.7,Angola,Africa,Girabola,Angola,Africa,1,Girabola,Angola,Africa
Desportivo Lunda-Sul,64.4,Angola,Africa,Girabola,Angola,Africa,1,Girabola,Angola,Africa
São Salvador,63.2,Angola,Africa,Girabola,Angola,Africa,1,Girabola,Angola,Africa
Recreativo do Libolo,63,Angola,Africa,Girabola,Angola,Africa,1,Girabola,Angola,Africa
Académica do Lobito,62.8,Angola,Africa,Girabola,Angola,Africa,1,Girabola,Angola,Africa
Redonda,61.4,Angola,Africa,Girabola,Angola,Africa,1,Girabola,Angola,Africa
1º de Maio,61.3,Angola,Africa,Girabola,Angola,Africa,1,Girabola,Angola,Africa
Luanda City,60.9,Angola,Africa,Girabola,Angola,Africa,1,Girabola,Angola,Africa
Guelson,60.3,Angola,Africa,Girabola,Angola,Africa,1,Girabola,Angola,Africa
Isaac de Benguela,60,Angola,Africa,,Angola,Africa,,,Angola,Africa
Santa Rita,59.9,Angola,Africa,,Angola,Africa,,,Angola,Africa
Carmona,58.8,Angola,Africa,,Angola,Africa,,,Angola,Africa
All Saints United,67.8,Antigua and Barbuda,N/C America,Premier Division,Antigua and Barbuda,N/C America,1,Premier Division,Antigua and Barbuda,N/C America
Grenades,67.4,Antigua and Barbuda,N/C America,Premier Division,Antigua and Barbuda,N/C America,1,Premier Division,Antigua and Barbuda,N/C America
Old Road,63.3,Antigua and Barbuda,N/C America,Premier Division,Antigua and Barbuda,N/C America,1,Premier Division,Antigua and Barbuda,N/C America
Aston Villa,62.8,Antigua and Barbuda,N/C America,Premier Division,Antigua and Barbuda,N/C America,1,Premier Division,Antigua and Barbuda,N/C America
Pigotts Bullets,60.3,Antigua and Barbuda,N/C America,Premier Division,Antigua and Barbuda,N/C America,1,Premier Division,Antigua and Barbuda,N/C America
Garden Stars,58.9,Antigua and Barbuda,N/C America,Premier Division,Antigua and Barbuda,N/C America,1,Premier Division,Antigua and Barbuda,N/C America
Potters Tigers,56.7,Antigua and Barbuda,N/C America,Premier Division,Antigua and Barbuda,N/C America,1,Premier Division,Antigua and Barbuda,N/C America
Green City,55.8,Antigua and Barbuda,N/C America,Premier Division,Antigua and Barbuda,N/C America,1,Premier Division,Antigua and Barbuda,N/C America
John Hughes,54.9,Antigua and Barbuda,N/C America,Premier Division,Antigua and Barbuda,N/C America,1,Premier Division,Antigua and Barbuda,N/C America
Attacking Saints,54.9,Antigua and Barbuda,N/C America,Premier Division,Antigua and Barbuda,N/C America,1,Premier Division,Antigua and Barbuda,N/C America
Five Islands,54.7,Antigua and Barbuda,N/C America,,Antigua and Barbuda,N/C America,,,Antigua and Barbuda,N/C America
Parham,54.5,Antigua and Barbuda,N/C America,,Antigua and Barbuda,N/C America,,,Antigua and Barbuda,N/C America
Hoppers,54.3,Antigua and Barbuda,N/C America,,Antigua and Barbuda,N/C America,,,Antigua and Barbuda,N/C America
Ottos Rangers,53.4,Antigua and Barbuda,N/C America,Premier Division,Antigua and Barbuda,N/C America,1,Premier Division,Antigua and Barbuda,N/C America
Willikies,52.8,Antigua and Barbuda,N/C America,,Antigua and Barbuda,N/C America,,,Antigua and Barbuda,N/C America
Jennings United,51.8,Antigua and Barbuda,N/C America,Premier Division,Antigua and Barbuda,N/C America,1,Premier Division,Antigua and Barbuda,N/C America
Boca Juniors,80.8,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
Racing Club,80.2,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
River Plate,80,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
Rosario Central,79.3,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
Lanús,79.2,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
Estudiantes,78.9,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
Argentinos Juniors,78.9,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
Tigre,77.5,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
Vélez Sarsfield,77.5,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
Independiente,77.4,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
San Lorenzo,77.2,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
Independiente Rivadavia,76.9,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
Deportivo Riestra,76.7,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
Belgrano,76.4,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
Central Córdoba SdE,76,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
Huracán,75.9,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
Platense,75.5,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
Gimnasia La Plata,75.4,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
Barracas Central,75.2,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
Unión,74.9,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
Talleres de Córdoba,74.6,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
Defensa y Justicia,74.4,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
Gimnasia Mendoza,74.3,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
Deportivo Madryn,74,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
Estudiantes Caseros,73.9,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
Estudiantes Río Cuarto,73.8,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
Atlético Tucumán,73.8,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
Sarmiento,73.7,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
Banfield,73.6,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
Aldosivi,73.6,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
Newell's Old Boys,73.5,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
Instituto,73.5,Argentina,South America,Liga Profesional Argentina,Argentina,South America,1,Liga Profesional Argentina,Argentina,South America
Deportivo Morón,72.7,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
Agropecuario,72.5,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
San Martín Tucumán,72.4,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
Godoy Cruz,72.4,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
Gimnasia Jujuy,72.4,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
Gimnasia y Tiro,72.3,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
Temperley,72.3,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
Tristán Suárez,72.2,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
San Martín San Juan,72.1,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
Defensores de Belgrano,71.8,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
San Miguel,71.3,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
Chaco For Ever,71.2,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
Deportivo Maipú,71.1,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
Colegiales,71,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
Atlanta,71,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
All Boys,71,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
Chacarita Juniors,70.9,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
Quilmes,70.7,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
Nueva Chicago,70.6,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
Mitre Santiago d. Estero,70.5,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
Güemes,70.3,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
Patronato,70.2,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
Ferro Carril Oeste,70.1,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
Ciudad de Bolívar,70.1,Argentina,South America,Torneo Federal A,Argentina,South America,3,Torneo Federal A,Argentina,South America
Atlético Rafaela,70.1,Argentina,South America,Torneo Federal A,Argentina,South America,3,Torneo Federal A,Argentina,South America
Racing Córdoba,69.7,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
San Telmo,69.4,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
Midland,69.3,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
Almirante Brown,69,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
Los Andes,68.6,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
Central Norte,68.3,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
Alvarado,68.1,Argentina,South America,,Argentina,South America,,,Argentina,South America
Acassuso,67.9,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
Colón,67.9,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
Almagro,67.7,Argentina,South America,Primera Nacional,Argentina,South America,2,Primera Nacional,Argentina,South America
Villa Mitre,65.5,Argentina,South America,Torneo Federal A,Argentina,South America,3,Torneo Federal A,Argentina,South America
San Martín Formosa,65.4,Argentina,South America,Torneo Federal A,Argentina,South America,3,Torneo Federal A,Argentina,South America
Olimpo,65.2,Argentina,South America,Torneo Federal A,Argentina,South America,3,Torneo Federal A,Argentina,South America
Argentino Monte Maíz,65.2,Argentina,South America,Torneo Federal A,Argentina,South America,3,Torneo Federal A,Argentina,South America
Sarmiento de La Banda,65.1,Argentina,South America,Torneo Federal A,Argentina,South America,3,Torneo Federal A,Argentina,South America
Sportivo Belgrano,65,Argentina,South America,Torneo Federal A,Argentina,South America,3,Torneo Federal A,Argentina,South America
9 de Julio Rafaela,64.9,Argentina,South America,Torneo Federal A,Argentina,South America,3,Torneo Federal A,Argentina,South America
Atenas,64.8,Argentina,South America,Torneo Federal A,Argentina,South America,3,Torneo Federal A,Argentina,South America
Guillermo Brown,64.7,Argentina,South America,Torneo Federal A,Argentina,South America,3,Torneo Federal A,Argentina,South America
Cipolletti,64.7,Argentina,South America,Torneo Federal A,Argentina,South America,3,Torneo Federal A,Argentina,South America
Douglas Haig,64.7,Argentina,South America,Torneo Federal A,Argentina,South America,3,Torneo Federal A,Argentina,South America
Deportivo Rincón,64.4,Argentina,South America,Torneo Federal A,Argentina,South America,3,Torneo Federal A,Argentina,South America
Sol de América,64.4,Argentina,South America,Torneo Federal A,Argentina,South America,3,Torneo Federal A,Argentina,South America
Costa Brava,64.4,Argentina,South America,Torneo Federal A,Argentina,South America,3,Torneo Federal A,Argentina,South America
Gimnasia Chivilcoy,64.4,Argentina,South America,Torneo Federal A,Argentina,South America,3,Torneo Federal A,Argentina,South America
Kimberley Mar del Plata,64.3,Argentina,South America,Torneo Federal A,Argentina,South America,3,Torneo Federal A,Argentina,South America
Independiente Chivilcoy,64.3,Argentina,South America,Torneo Federal A,Argentina,South America,3,Torneo Federal A,Argentina,South America
Bartolomé Mitre,64.3,Argentina,South America,Torneo Federal A,Argentina,South America,3,Torneo Federal A,Argentina,South America
Juventud Unida Univ.,64.2,Argentina,South America,Torneo Federal A,Argentina,South America,3,Torneo Federal A,Argentina,South America
Boca Unidos,64.2,Argentina,South America,Torneo Federal A,Argentina,South America,3,Torneo Federal A,Argentina,South America
Juventud Antoniana,64.1,Argentina,South America,Torneo Federal A,Argentina,South America,3,Torneo Federal A,Argentina,South America
Sportivo Las Parejas,64.1,Argentina,South America,Torneo Federal A,Argentina,South America,3,Torneo Federal A,Argentina,South America
Deportivo Santamarina,64.1,Argentina,South America,Torneo Federal A,Argentina,South America,3,Torneo Federal A,Argentina,South America
Ben Hur Rafaela,64.1,Argentina,South America,Torneo Regional Federal Amateur,Argentina,South America,5,Torneo Regional Federal Amateur,Argentina,South America
Defensores Belgrano VR,63.9,Argentina,South America,Torneo Federal A,Argentina,South America,3,Torneo Federal A,Argentina,South America
El Linqueño,63.9,Argentina,South America,Torneo Federal A,Argentina,South America,3,Torneo Federal A,Argentina,South America
Estudiantes de San Luis,63.9,Argentina,South America,Torneo Regional Federal Amateur,Argentina,South America,5,Torneo Regional Federal Amateur,Argentina,South America
